feature,importance
age,20243.30016611202
gender_Unknown,2689.182911127573
ad_position_Top,2591.3196883080527
device_type_Mobile,2439.0722950769123
ad_position_Side,2213.37953213579
browsing_history_Unknown,2194.5916995678563
device_type_Tablet,1909.2523656690028
time_of_day_Night,1849.019583211979
time_of_day_Morning,1539.2747400936205
time_of_day_Evening,1425.6432970783208
gender_Non-Binary,1388.6138102316763
gender_Male,1332.4000232373364
ad_position_Unknown,1195.6305456170812
device_type_Unknown,1112.3856746798847
time_of_day_Unknown,962.9171089848969
browsing_history_Social Media,859.8761302419007
browsing_history_News,818.8828454414615
browsing_history_Entertainment,801.4635872701183
browsing_history_Shopping,640.167541822535
