Segment_Combination,gender,device_type,ad_position,browsing_history,time_of_day,Impressions,Clicks,Conversions,Spend,Revenue,CTR_Percent,CVR_Percent,ROAS,CPA,LTV,Profit,ROI_Percent
Mobile | News | Top | Unknown | Female,Female,Mobile,Top,News,Unknown,1,1,1,2.0,40,100.0,100.0,20.0,2.0,40.0,38.0,1900.0
Tablet | Shopping | Unknown | Morning | Male,Male,Tablet,Unknown,Shopping,Morning,1,1,1,2.0,40,100.0,100.0,20.0,2.0,40.0,38.0,1900.0
Mobile | Entertainment | Unknown | Evening | Non-Binary,Non-Binary,Mobile,Unknown,Entertainment,Evening,2,2,2,4.0,80,100.0,100.0,20.0,2.0,40.0,76.0,1900.0
Unknown | News | Side | Unknown | Male,Male,Unknown,Side,News,Unknown,1,1,1,2.0,40,100.0,100.0,20.0,2.0,40.0,38.0,1900.0
Unknown | Shopping | Unknown | Unknown | Unknown,Unknown,Unknown,Unknown,Shopping,Unknown,1,1,1,2.0,40,100.0,100.0,20.0,2.0,40.0,38.0,1900.0
Mobile | News | Unknown | Evening | Female,Female,Mobile,Unknown,News,Evening,3,2,2,6.0,80,66.67,100.0,13.333,3.0,40.0,74.0,1233.33
Unknown | Education | Bottom | Unknown | Male,Male,Unknown,Bottom,Education,Unknown,2,2,1,4.0,41,100.0,50.0,10.25,4.0,41.0,37.0,925.0
Unknown | Education | Unknown | Morning | Female,Female,Unknown,Unknown,Education,Morning,2,2,1,4.0,41,100.0,50.0,10.25,4.0,41.0,37.0,925.0
Unknown | Shopping | Bottom | Unknown | Female,Female,Unknown,Bottom,Shopping,Unknown,2,2,1,4.0,41,100.0,50.0,10.25,4.0,41.0,37.0,925.0
Mobile | News | Unknown | Night | Unknown,Unknown,Mobile,Unknown,News,Night,2,2,1,4.0,41,100.0,50.0,10.25,4.0,41.0,37.0,925.0
Tablet | Shopping | Top | Morning | Male,Male,Tablet,Top,Shopping,Morning,2,2,1,4.0,41,100.0,50.0,10.25,4.0,41.0,37.0,925.0
Mobile | Social Media | Side | Unknown | Non-Binary,Non-Binary,Mobile,Side,Social Media,Unknown,2,2,1,4.0,41,100.0,50.0,10.25,4.0,41.0,37.0,925.0
Mobile | Social Media | Unknown | Evening | Non-Binary,Non-Binary,Mobile,Unknown,Social Media,Evening,6,6,3,12.0,123,100.0,50.0,10.25,4.0,41.0,111.0,925.0
Desktop | Education | Unknown | Night | Male,Male,Desktop,Unknown,Education,Night,2,2,1,4.0,41,100.0,50.0,10.25,4.0,41.0,37.0,925.0
Tablet | Education | Unknown | Morning | Male,Male,Tablet,Unknown,Education,Morning,2,2,1,4.0,41,100.0,50.0,10.25,4.0,41.0,37.0,925.0
Mobile | Social Media | Top | Unknown | Male,Male,Mobile,Top,Social Media,Unknown,2,2,1,4.0,41,100.0,50.0,10.25,4.0,41.0,37.0,925.0
Unknown | News | Top | Evening | Female,Female,Unknown,Top,News,Evening,2,2,1,4.0,41,100.0,50.0,10.25,4.0,41.0,37.0,925.0
Tablet | News | Unknown | Morning | Male,Male,Tablet,Unknown,News,Morning,2,2,1,4.0,41,100.0,50.0,10.25,4.0,41.0,37.0,925.0
Tablet | Entertainment | Top | Night | Non-Binary,Non-Binary,Tablet,Top,Entertainment,Night,2,2,1,4.0,41,100.0,50.0,10.25,4.0,41.0,37.0,925.0
Tablet | Education | Unknown | Evening | Female,Female,Tablet,Unknown,Education,Evening,2,2,1,4.0,41,100.0,50.0,10.25,4.0,41.0,37.0,925.0
Desktop | Entertainment | Unknown | Unknown | Female,Female,Desktop,Unknown,Entertainment,Unknown,2,2,1,4.0,41,100.0,50.0,10.25,4.0,41.0,37.0,925.0
Mobile | Education | Unknown | Unknown | Female,Female,Mobile,Unknown,Education,Unknown,4,4,2,8.0,82,100.0,50.0,10.25,4.0,41.0,74.0,925.0
Unknown | Social Media | Unknown | Morning | Male,Male,Unknown,Unknown,Social Media,Morning,2,2,1,4.0,41,100.0,50.0,10.25,4.0,41.0,37.0,925.0
Tablet | Shopping | Bottom | Evening | Unknown,Unknown,Tablet,Bottom,Shopping,Evening,2,2,1,4.0,41,100.0,50.0,10.25,4.0,41.0,37.0,925.0
Mobile | Entertainment | Top | Evening | Male,Male,Mobile,Top,Entertainment,Evening,6,5,3,12.0,122,83.33,60.0,10.167,4.0,40.67,110.0,916.67
Unknown | Education | Unknown | Evening | Non-Binary,Non-Binary,Unknown,Unknown,Education,Evening,2,1,1,4.0,40,50.0,100.0,10.0,4.0,40.0,36.0,900.0
Unknown | Education | Side | Morning | Male,Male,Unknown,Side,Education,Morning,2,1,1,4.0,40,50.0,100.0,10.0,4.0,40.0,36.0,900.0
Unknown | News | Unknown | Unknown | Female,Female,Unknown,Unknown,News,Unknown,2,1,1,4.0,40,50.0,100.0,10.0,4.0,40.0,36.0,900.0
Mobile | Shopping | Top | Morning | Unknown,Unknown,Mobile,Top,Shopping,Morning,2,1,1,4.0,40,50.0,100.0,10.0,4.0,40.0,36.0,900.0
Tablet | Social Media | Unknown | Unknown | Unknown,Unknown,Tablet,Unknown,Social Media,Unknown,2,1,1,4.0,40,50.0,100.0,10.0,4.0,40.0,36.0,900.0
Unknown | Shopping | Unknown | Night | Female,Female,Unknown,Unknown,Shopping,Night,2,1,1,4.0,40,50.0,100.0,10.0,4.0,40.0,36.0,900.0
Unknown | News | Unknown | Morning | Male,Male,Unknown,Unknown,News,Morning,2,1,1,4.0,40,50.0,100.0,10.0,4.0,40.0,36.0,900.0
Unknown | Entertainment | Top | Morning | Female,Female,Unknown,Top,Entertainment,Morning,2,1,1,4.0,40,50.0,100.0,10.0,4.0,40.0,36.0,900.0
Tablet | Social Media | Side | Evening | Non-Binary,Non-Binary,Tablet,Side,Social Media,Evening,7,7,3,14.0,124,100.0,42.86,8.857,4.67,41.33,110.0,785.71
Mobile | Unknown | Top | Afternoon | Non-Binary,Non-Binary,Mobile,Top,Unknown,Afternoon,7,4,3,14.0,121,57.14,75.0,8.643,4.67,40.33,107.0,764.29
Tablet | Education | Bottom | Morning | Non-Binary,Non-Binary,Tablet,Bottom,Education,Morning,5,4,2,10.0,82,80.0,50.0,8.2,5.0,41.0,72.0,720.0
Tablet | News | Side | Unknown | Male,Male,Tablet,Side,News,Unknown,5,3,2,10.0,81,60.0,66.67,8.1,5.0,40.5,71.0,710.0
Desktop | Social Media | Side | Evening | Non-Binary,Non-Binary,Desktop,Side,Social Media,Evening,3,3,1,6.0,42,100.0,33.33,7.0,6.0,42.0,36.0,600.0
Desktop | Shopping | Unknown | Unknown | Unknown,Unknown,Desktop,Unknown,Shopping,Unknown,3,3,1,6.0,42,100.0,33.33,7.0,6.0,42.0,36.0,600.0
Unknown | Shopping | Bottom | Afternoon | Female,Female,Unknown,Bottom,Shopping,Afternoon,3,3,1,6.0,42,100.0,33.33,7.0,6.0,42.0,36.0,600.0
Tablet | News | Bottom | Morning | Female,Female,Tablet,Bottom,News,Morning,6,6,2,12.0,84,100.0,33.33,7.0,6.0,42.0,72.0,600.0
Unknown | Social Media | Top | Morning | Male,Male,Unknown,Top,Social Media,Morning,3,3,1,6.0,42,100.0,33.33,7.0,6.0,42.0,36.0,600.0
